Number,Spokesperson,Spokesperson.Attitude,Country,Knowledge.SD,Age.Group,Gender,Employment,City.size1,FAC.SCFM,Message.Sharing,Suport.SD,Current.Practice.SD,Future.Practice.SD,Num.Measures.SD,Age,Education,Household.Size,Settlement.Size,Concern.Situation,Concern.Others,Others.SD,Movement,Infection.percent,Subjective.Health,Satisfaction.Government,PH.vs.Economy,Religiosity,Q6.Self.Isolation,Q6.Quarantine.Zones,Q6.Closing.Borders,Q6.Meeting.Friends,Q6.Physical.Distance,Q6.Closing.Businesses,Q6.Public.Transportation,Q6.Canceling.Events,Q6.No.Workplace,Q6.Self.Isolation1,Q6.Quarantine.Zones1,Q6.Closing.Borders1,Q6.Meeting.Friends1,Q6.Physical.Distance1,Q6.Closing.Businesses1,Q6.Public.Transportation1,Q6.Canceling.Events1,Q6.No.Workplace1
353,Fauci,NA,US,Yes,Young,Female,Employed,Town,0.116,4,4,7,7,9,23,3,3,3,5,6,2,4,7,3,4,4,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
354,Fauci,Neutral,US,Yes,Old,Female,Retired,Town,0.933,7,7,7,7,9,58,1,3,3,7,7,4,1,1,4,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
355,Fauci,Neutral,US,Yes,Old,Female,Retired,Town,0.933,7,7,7,7,9,60,3,2,3,7,7,4,1,2,5,4,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
356,Fauci,Like,US,Yes,Young,Female,Employed,Town,0.303,7,7,5,7,9,23,2,1,3,5,7,2,5,2,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
357,Fauci,Like,US,Yes,Young,Male,Student,Town,-0.724,6,6,5,6,5,24,6,4,3,3,3,5,2,1,5,2,4,1,No,No,Yes,No,No,Yes,Yes,Yes,Yes,0,0,1,0,0,1,1,1,1
358,Fauci,Neutral,US,Yes,Young,Female,Student,Town,0.205,7,7,6,6,8,19,4,4,3,5,4,3,4,3,3,1,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
359,Fauci,Like,US,Yes,Young,Female,Student,Town,0.82,4,7,7,7,8,23,5,2,3,7,7,5,2,3,5,7,2,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
360,Fauci,NA,US,Yes,Mid-Age,Male,Unemployed,Town,0.933,7,7,7,7,9,41,4,1,3,7,7,5,4,2,3,2,3,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
361,Fauci,NA,US,Yes,Mid-Age,Male,Self-employed,Town,-0.837,7,6,5,6,4,46,4,2,3,7,6,3,1,2,4,4,1,4,No,No,No,Yes,Yes,Yes,No,Yes,No,0,0,0,1,1,1,0,1,0
362,Fauci,NA,US,Yes,Young,Male,Unemployed,Town,0.933,6,7,7,7,9,25,3,3,3,4,5,4,4,4,3,2,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
363,Fauci,Like,US,Yes,Mid-Age,Male,Unemployed,Town,-0.321,7,7,6,5,6,50,1,1,3,7,7,3,2,1,3,5,3,5,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1,0,0,0,1,1,1,1,1
364,Fauci,Neutral,US,Yes,Old,Female,Self-employed,Town,0.933,7,7,7,7,9,61,6,3,3,6,7,3,1,3,4,6,5,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
365,Fauci,Like,US,Yes,Mid-Age,Female,Employed,Town,0.232,7,6,6,7,8,46,6,3,3,6,7,5,7,5,3,1,1,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
366,Fauci,Neutral,US,Yes,Young,Male,Unemployed,Town,-0.296,7,7,5,5,9,25,3,3,3,6,5,2,6,2,3,1,3,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
367,Fauci,NA,US,Yes,Young,Female,Unemployed,Town,0.391,5,7,6,7,7,22,5,4,3,7,7,5,1,2,3,4,6,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1,1,1,0,0,1,1,1,1
368,Fauci,NA,US,Yes,Mid-Age,Female,Unemployed,Town,-0.567,4,5,6,6,6,33,6,4,3,4,6,4,6,1,4,4,4,7,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1,0,1,0,1,1,0,1,1
369,Fauci,NA,US,Yes,Young,Female,Unemployed,Town,0.391,5,7,6,7,7,22,5,4,3,7,7,5,1,2,3,4,6,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1,1,1,0,0,1,1,1,1
370,Fauci,Like,US,Yes,Young,Male,Employed,Town,-0.11,3,7,5,6,8,25,4,3,3,4,5,3,4,5,4,2,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
371,Fauci,NA,US,Yes,Old,Female,Retired,Village,0.933,7,7,7,7,9,66,4,2,1,5,7,4,1,1,5,5,5,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
372,Fauci,Like,US,Yes,Young,Male,Employed,Village,0.303,7,7,5,7,9,18,4,2,1,5,6,2,4,1,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
373,Fauci,NA,US,Yes,Mid-Age,Female,Employed,Village,0.706,4,7,7,7,7,33,6,2,1,6,7,7,1,2,2,3,2,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0,1,1,1,1,1,1
374,Fauci,Like,US,Yes,Old,Female,Retired,Village,0.933,7,7,7,7,9,77,4,2,1,7,7,4,1,1,5,4,2,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
375,Fauci,Like,US,Yes,Mid-Age,Female,Employed,Village,0.82,7,7,7,7,8,35,3,3,1,7,7,3,1,2,2,1,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
376,Fauci,Like,US,Yes,Old,Female,Retired,Village,0.82,4,7,7,7,8,58,4,2,1,6,7,3,1,5,3,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
377,Fauci,Like,US,Yes,Old,Female,Employed,Village,-0.91,7,7,4,4,9,51,3,2,1,3,7,5,3,1,4,3,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
378,Fauci,NA,US,Yes,Old,Female,Employed,Village,0.046,4,6,6,6,9,58,3,4,1,5,6,3,2,1,4,2,3,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
379,Fauci,Like,US,Yes,Mid-Age,Male,Retired,Village,0.933,7,7,7,7,9,33,2,3,1,7,7,5,1,1,3,2,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
380,Fauci,NA,US,Yes,Young,Female,Employed,Village,0.024,1,7,7,7,1,32,2,4,1,7,7,1,1,1,3,1,4,7,Yes,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,0
381,Fauci,Like,US,Yes,Old,Female,Self-employed,Village,0.933,6,7,7,7,9,53,3,5,1,7,7,4,5,1,4,3,3,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
382,Fauci,Neutral,US,Yes,Old,Male,Retired,Village,0.479,7,7,7,7,5,62,1,2,1,5,7,4,2,1,4,4,4,6,Yes,No,Yes,No,Yes,Yes,No,Yes,No,1,0,1,0,1,1,0,1,0
383,Fauci,Like,US,Yes,Old,Female,Self-employed,Village,0.933,7,7,7,7,9,62,6,5,1,7,7,4,1,1,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
384,Government,Neutral,US,Yes,Young,Female,Employed,City,-0.769,2,5,5,6,7,22,4,3,4,6,7,5,3,4,4,1,3,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1,1,1,0,0,1,1,1,1
385,Government,Neutral,US,Yes,Young,Male,Employed,City,0.933,7,7,7,7,9,25,3,3,4,7,7,1,6,6,4,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
386,Government,Dislike,US,Yes,Mid-Age,Female,Employed,City,0.933,1,7,7,7,9,49,6,2,4,7,7,5,1,4,5,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
387,Government,Neutral,US,Yes,Young,Male,Employed,City,0.592,6,7,7,7,6,26,4,2,4,5,6,5,2,1,5,4,4,1,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,1,1,0,0,1,1,0,1,1
388,Government,Neutral,US,Yes,Young,Female,Employed,City,0.345,7,6,6,7,9,19,3,5,4,3,7,3,4,2,5,5,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
389,Government,Neutral,US,Yes,Old,Female,Retired,City,0.407,1,7,7,6,7,66,3,2,4,7,7,5,1,1,4,4,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,1,1,1,1,1,0,1,0
390,Government,Neutral,US,Yes,Young,Female,Employed,City,-4.454,1,3,1,2,1,23,4,2,4,2,7,5,1,9,4,3,5,1,No,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,0,0,0
391,Government,Neutral,US,Yes,Young,Male,Employed,City,0.18,6,7,7,6,5,21,3,3,4,7,7,5,5,6,3,6,5,7,No,No,Yes,No,No,Yes,Yes,Yes,Yes,0,0,1,0,0,1,1,1,1
392,Government,Dislike,US,Yes,Old,Female,Retired,City,0.592,7,7,7,7,6,66,4,3,4,5,7,4,3,2,4,2,1,3,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1,0,0,0,1,1,1,1,1
393,Government,Dislike,US,Yes,Young,Male,Employed,City,0.933,6,7,7,7,9,18,4,4,4,7,7,4,5,5,2,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
394,Government,Like,US,Yes,Mid-Age,Female,Employed,City,-0.866,2,5,6,5,6,38,4,2,4,4,5,5,5,4,3,5,5,6,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0,0,1,1,1,1,1,1,0
395,Government,Neutral,US,Yes,Old,Female,Employed,City,0.618,4,7,6,7,9,52,3,6,4,7,7,3,1,3,3,1,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
396,Government,Neutral,US,Yes,Old,Male,Employed,City,0.163,5,7,6,7,5,62,5,1,4,7,7,3,6,1,3,3,4,4,Yes,No,Yes,No,Yes,Yes,No,Yes,No,1,0,1,0,1,1,0,1,0
397,Government,Neutral,US,Yes,Mid-Age,Male,Self-employed,City,0.933,1,7,7,7,9,33,4,6,4,7,7,4,1,8,3,4,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
398,Government,Neutral,US,Yes,Young,Male,Employed,City,0.933,3,7,7,7,9,20,5,2,4,5,6,4,2,4,1,4,2,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
399,Government,Dislike,US,Yes,Young,Female,Self-employed,City,0.275,1,5,7,7,8,30,2,2,4,6,6,4,2,3,4,2,1,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,1,1,1,1,1,1
400,Government,Neutral,US,Yes,Young,Male,Self-employed,City,0.933,7,7,7,7,9,27,5,1,4,7,7,2,1,1,4,6,3,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
401,Government,Like,US,Yes,Young,Female,Employed,City,-0.567,5,5,6,6,6,32,4,2,4,4,5,3,2,4,4,5,4,7,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,0,1,1,0,0,1,1,1,1
402,Government,Like,US,Yes,Old,Male,Employed,City,0.618,7,7,6,7,9,68,3,6,4,7,4,3,7,2,3,7,7,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
403,Government,Dislike,US,Yes,Young,Male,Employed,City,0.933,1,7,7,7,9,26,4,2,4,6,7,4,2,5,4,3,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
404,Government,Neutral,US,Yes,Young,Female,Employed,City,0.933,7,7,7,7,9,21,3,4,4,7,7,1,1,6,4,5,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
405,Government,NA,US,Yes,Old,Female,Retired,City,0.618,7,7,6,7,9,68,4,4,4,7,7,5,1,2,4,6,6,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
406,Government,Like,US,Yes,Young,Female,Employed,City,0.82,1,7,7,7,8,32,6,4,4,7,7,4,1,6,4,3,4,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
407,Government,Neutral,US,Yes,Young,Female,Unemployed,City,0.933,3,7,7,7,9,22,3,2,4,5,7,5,1,8,3,5,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
408,Government,Dislike,US,Yes,Young,Male,Employed,City,0.933,1,7,7,7,9,29,5,2,4,6,6,4,3,1,4,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
409,Government,Neutral,US,Yes,Old,Female,Employed,City,0.933,6,7,7,7,9,51,4,2,4,7,7,4,1,3,4,3,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
410,Government,Dislike,US,Yes,Mid-Age,Female,Self-employed,City,0.933,1,7,7,7,9,34,4,5,4,7,7,4,1,8,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
411,Government,Neutral,US,Yes,Mid-Age,Female,Employed,City,-0.296,1,7,5,5,9,39,4,2,4,5,7,3,2,2,4,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
412,Government,Dislike,US,Yes,Old,Female,Retired,City,0.82,5,7,7,7,8,59,5,2,4,7,7,4,1,2,2,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,0,1,1
413,Government,Like,US,Yes,Young,Female,Student,City,-0.223,3,6,6,7,4,20,4,4,4,6,5,5,3,1,5,6,7,6,Yes,No,No,No,Yes,Yes,No,Yes,No,1,0,0,0,1,1,0,1,0
414,Government,Like,US,Yes,Old,Female,Retired,City,0.706,7,7,7,7,7,63,2,1,4,7,7,2,1,6,3,6,6,2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,1,1,0,1,1,1,1,1,0
415,Government,Dislike,US,Yes,Mid-Age,Female,Employed,City,0.933,1,7,7,7,9,37,5,3,4,7,7,4,1,8,4,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
416,Government,Dislike,US,Yes,Old,Female,Retired,Metropolitan,0.933,1,7,7,7,9,71,6,1,5,7,7,5,1,8,5,1,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
417,Government,Dislike,US,No,Old,Male,Retired,Metropolitan,0.618,4,7,6,7,9,67,4,1,5,6,6,3,2,4,4,3,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
418,Government,Dislike,US,Yes,Old,Male,Employed,Metropolitan,-0.295,1,6,6,6,6,57,4,1,5,5,3,4,3,1,5,1,2,2,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1,0,1,0,1,1,0,1,1
419,Government,Dislike,US,Yes,Old,Male,Employed,Metropolitan,-0.022,6,7,6,6,6,53,5,1,5,5,5,3,2,2,4,2,2,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,1,1,0,0,1,1,0,1,1
420,Government,Neutral,US,Yes,Young,Male,Employed,Metropolitan,-0.955,5,5,5,5,8,24,4,5,5,5,5,2,5,2,5,5,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
421,Government,Neutral,US,Yes,Young,Female,Employed,Metropolitan,0.407,2,7,7,6,7,23,6,4,5,7,6,4,2,4,4,5,3,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1,1,1,0,1,1,1,1,0
422,Government,Dislike,US,Yes,Young,Female,Employed,Metropolitan,0.82,5,7,7,7,8,24,5,3,5,7,7,2,1,6,4,1,1,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
423,Government,Like,US,Yes,Old,Male,Employed,Metropolitan,0.003,7,7,5,6,9,58,4,4,5,7,7,2,7,4,2,2,2,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
424,Government,Dislike,US,No,Young,Male,Employed,Metropolitan,0.933,3,7,7,7,9,20,4,4,5,5,5,4,2,1,4,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
425,Government,Dislike,US,Yes,Mid-Age,Male,Employed,Metropolitan,0.618,1,7,6,7,9,41,6,3,5,6,7,4,2,2,4,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
426,Government,Like,US,Yes,Old,Female,Retired,Metropolitan,0.634,7,7,7,6,9,61,4,2,5,5,6,5,2,2,5,6,6,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
427,Government,Dislike,US,Yes,Mid-Age,Female,Employed,Metropolitan,-0.022,2,7,6,6,6,34,6,3,5,5,7,5,2,1,4,3,1,1,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,1,0,0,1,1,1,0,1,1
428,Government,Dislike,US,Yes,Young,Male,Unemployed,Metropolitan,0.933,3,7,7,7,9,25,3,7,5,7,7,3,2,2,2,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
429,Government,Dislike,US,Yes,Young,Male,Employed,Metropolitan,0.82,1,7,7,7,8,31,6,2,5,5,7,4,3,1,5,2,2,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
430,Government,Dislike,US,Yes,Young,Female,Employed,Metropolitan,0.046,1,6,6,6,9,24,5,2,5,7,7,5,2,4,5,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
431,Government,Dislike,US,Yes,Mid-Age,Female,Unemployed,Metropolitan,-1.479,7,7,4,4,4,46,2,2,5,5,6,4,1,2,5,1,4,4,Yes,No,No,No,Yes,Yes,No,Yes,No,1,0,0,0,1,1,0,1,0
432,Government,Dislike,US,Yes,Old,Male,Retired,Metropolitan,0.933,1,7,7,7,9,62,6,3,5,7,7,5,1,1,5,4,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
433,Government,Like,US,Yes,Old,Male,Employed,Metropolitan,-1.822,5,5,5,4,3,54,6,4,5,2,3,3,2,2,5,5,3,6,No,No,Yes,No,Yes,No,No,Yes,No,0,0,1,0,1,0,0,1,0
434,Government,Dislike,US,Yes,Young,Female,Employed,Small Town,-0.296,1,7,5,5,9,22,2,4,2,7,7,1,1,2,5,2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
435,Government,NA,US,Yes,Mid-Age,Male,Student,Small Town,0.933,1,7,7,7,9,43,2,4,2,7,7,4,1,1,4,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
436,Government,Like,US,Yes,Young,Female,Employed,Small Town,0.205,5,7,6,6,8,22,2,2,2,6,6,4,2,10,5,5,4,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
437,Government,Dislike,US,Yes,Mid-Age,Female,Employed,Small Town,-0.296,4,7,5,5,9,37,2,1,2,7,7,3,1,3,3,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
438,Government,Like,US,Yes,Old,Male,Retired,Small Town,-1.611,7,5,4,5,5,65,3,1,2,3,2,4,3,1,4,3,3,5,No,No,Yes,No,Yes,Yes,Yes,Yes,No,0,0,1,0,1,1,1,1,0
439,Government,NA,US,Yes,Young,Female,Student,Small Town,0.634,3,7,7,6,9,20,4,4,2,6,6,3,1,3,4,1,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
440,Government,Dislike,US,Yes,Young,Female,Employed,Small Town,0.933,4,7,7,7,9,21,2,3,2,7,7,4,1,3,5,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
441,Government,Dislike,US,Yes,Old,Female,Unemployed,Small Town,-0.275,2,7,7,6,1,57,2,2,2,7,7,2,2,3,4,1,1,6,Yes,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,0
442,Government,Like,US,Yes,Young,Female,Self-employed,Small Town,-0.094,2,7,6,5,8,23,4,9,2,3,4,3,2,3,3,5,5,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
443,Government,Like,US,Yes,Old,Female,Retired,Small Town,-2.111,7,4,4,5,3,66,4,3,2,4,4,2,6,2,3,1,1,7,No,No,Yes,No,No,Yes,No,Yes,No,0,0,1,0,0,1,0,1,0
444,Government,Like,US,Yes,Old,Male,Employed,Small Town,0.933,6,7,7,7,9,54,2,2,2,6,6,4,4,1,3,3,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
445,Government,Dislike,US,Yes,Young,Male,Employed,Small Town,0.003,1,7,5,6,9,23,4,3,2,5,7,2,1,4,5,1,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
446,Government,Dislike,US,Yes,Old,Female,Retired,Small Town,0.933,1,7,7,7,9,73,3,2,2,7,7,3,1,3,3,1,1,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
447,Government,Neutral,US,Yes,Young,Male,Employed,Small Town,-1.137,4,6,5,5,4,24,5,4,2,2,3,6,4,3,5,2,6,3,Yes,No,No,Yes,Yes,No,No,Yes,No,1,0,0,1,1,0,0,1,0
448,Government,Like,US,Yes,Old,Female,Employed,Small Town,0.933,5,7,7,7,9,61,5,3,2,5,5,4,1,3,3,7,6,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
449,Government,Dislike,US,Yes,Old,Female,Retired,Small Town,0.706,7,7,7,7,7,77,5,1,2,4,5,4,1,2,5,1,7,4,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1,1,0,0,1,1,1,1,1
450,Government,Neutral,US,Yes,Young,Female,Employed,Small Town,-1.156,3,5,4,5,9,28,4,4,2,5,6,1,4,1,3,2,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
451,Government,Neutral,US,Yes,Young,Female,Employed,Small Town,-0.224,2,7,5,6,7,20,4,2,2,6,7,3,7,1,3,4,2,3,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1,1,1,0,0,1,1,1,1
452,Government,Like,US,Yes,Old,Female,Employed,Small Town,-0.109,1,6,6,7,5,57,4,3,2,4,6,3,1,1,5,5,3,7,Yes,No,Yes,No,No,Yes,Yes,Yes,No,1,0,1,0,0,1,1,1,0
453,Government,Like,US,Yes,Old,Female,Employed,Small Town,0.205,6,7,6,6,8,57,6,2,2,6,6,4,4,1,4,5,6,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
454,Government,Like,US,Yes,Young,Female,Employed,Small Town,-0.662,7,7,6,5,3,28,4,2,2,5,5,2,4,4,4,4,3,1,Yes,No,No,Yes,No,Yes,No,No,No,1,0,0,1,0,1,0,0,0
455,Government,NA,US,Yes,Mid-Age,Male,Employed,Small Town,0.933,1,7,7,7,9,50,3,4,2,6,4,2,4,2,4,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
456,Government,Dislike,US,Yes,Old,Female,Retired,Small Town,0.634,1,7,7,6,9,77,5,1,2,7,7,4,1,1,5,1,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
457,Government,Like,US,Yes,Old,Female,Employed,Small Town,0.933,7,7,7,7,9,63,3,1,2,7,7,5,1,1,5,7,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
458,Government,Neutral,US,Yes,Mid-Age,Male,Self-employed,Small Town,-0.34,1,5,6,6,8,41,4,3,2,3,6,5,1,1,4,3,1,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,1,1
459,Government,Like,US,Yes,Old,Female,Employed,Small Town,0.206,7,6,7,7,5,54,3,4,2,7,7,6,7,10,4,7,6,7,Yes,No,No,No,Yes,Yes,No,Yes,Yes,1,0,0,0,1,1,0,1,1
460,Government,Like,US,Yes,Old,Female,Retired,Small Town,-2.111,7,4,4,5,3,66,4,3,2,4,4,2,6,2,3,1,1,7,No,No,Yes,No,No,Yes,No,Yes,No,0,0,1,0,0,1,0,1,0
461,Government,Like,US,Yes,Young,Male,Student,Small Town,0.504,7,7,6,7,8,19,5,3,2,5,7,2,1,9,4,4,4,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
462,Government,Like,US,Yes,Old,Female,Employed,Small Town,0.82,7,7,7,7,8,58,1,2,2,6,7,6,1,1,5,6,6,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
463,Government,Like,US,Yes,Old,Female,Retired,Small Town,-2.111,7,4,4,5,3,66,4,3,2,4,4,2,6,2,3,1,1,7,No,No,Yes,No,No,Yes,No,Yes,No,0,0,1,0,0,1,0,1,0
